지표,논문_목표값,코드베이스_실제값,차이,일치성_퍼센트,상태
Sharpe Ratio,2.45,-2.81,-5.26,0.0,매우 불일치
Cumulative Return,1.23,-0.24,-1.47,0.0,매우 불일치
CAGR,0.41,-0.43,-0.84,0.0,매우 불일치
Maximum Drawdown,-0.15,-0.28,-0.13,14.3,개선 필요
Win Rate,0.58,0.30,-0.28,51.4,개선 필요
Profit Factor,2.1,0.86,-1.24,41.0,개선 필요
평균 일치성,100.0,17.8,-82.2,17.8,개선 필요
