,buy_and_hold,atr18_screen,s1_soft_ema12
2024-03-01 00:00:00,1.0,10000.0,9973.186908843094
2024-03-01 01:00:00,0.9953373199280467,10000.0,9969.703725325646
2024-03-01 02:00:00,0.9915268195972398,10000.0,9955.922228326452
2024-03-01 03:00:00,0.9935740997195011,10000.0,9921.843384680502
2024-03-01 04:00:00,1.000373651792626,10000.0,9938.908435544723
2024-03-01 05:00:00,0.9969252587473625,10000.0,9918.127432971294
2024-03-01 06:00:00,1.001090549422604,10000.0,9928.913269582372
2024-03-01 07:00:00,0.9989088001826308,10000.0,9890.548081016466
2024-03-01 08:00:00,1.0066260592694993,10000.0,9887.044804734516
2024-03-01 09:00:00,1.0102118482089186,10000.0,9887.044804734516
2024-03-01 10:00:00,1.0079673358741006,10000.0,9887.044804734516
2024-03-01 11:00:00,1.0058959911455256,10000.0,9887.044804734516
2024-03-01 12:00:00,1.0118516560107613,10000.0,9887.044804734516
2024-03-01 13:00:00,1.0155585809752052,10000.0,9887.044804734516
2024-03-01 14:00:00,1.0072712508766102,10000.0,9887.044804734516
2024-03-01 15:00:00,0.9961444598317005,10000.0,9887.044804734516
2024-03-01 16:00:00,0.9988011598489848,10000.0,9887.044804734516
2024-03-01 17:00:00,1.0066481726915173,10000.0,9887.044804734516
2024-03-01 18:00:00,1.0135348776631836,10000.0,9887.044804734516
2024-03-01 19:00:00,1.0116158879083645,10000.0,9887.044804734516
2024-03-01 20:00:00,1.0221134220179116,10000.0,9887.044804734516
2024-03-01 21:00:00,1.01657466019719,10000.0,9887.044804734516
2024-03-01 22:00:00,1.0160806853729956,10000.0,9887.044804734516
2024-03-01 23:00:00,1.0144190893465175,10000.0,9887.044804734516
2024-03-02 00:00:00,1.0129896842512274,10000.0,9905.008615321874
2024-03-02 01:00:00,1.0085998447832893,10000.0,9898.506684537026
2024-03-02 02:00:00,1.0099196583606378,10000.0,9882.860336755431
2024-03-02 03:00:00,1.0131109828749432,10000.0,9904.375818667235
2024-03-02 04:00:00,1.0086964284059263,10000.0,9906.700153855234
2024-03-02 05:00:00,1.0082183882534803,10000.0,9911.534692428777
2024-03-02 06:00:00,1.0072338531776093,10000.0,9906.261522318484
2024-03-02 07:00:00,1.0083045655598737,10000.0,9912.023685431737
2024-03-02 08:00:00,1.0071304404099373,10000.0,9919.745342224149
2024-03-02 09:00:00,1.0055600622492828,10000.0,9914.78081598194
2024-03-02 10:00:00,1.0065649221615676,10000.0,9921.065154367907
2024-03-02 11:00:00,1.0052878720400331,10000.0,9900.812470365889
2024-03-02 12:00:00,1.0093908874165036,10000.0,9922.718438992464
2024-03-02 13:00:00,1.0049199112016027,10000.0,9919.770967793618
2024-03-02 14:00:00,1.0055122582340383,10000.0,9925.295615723851
2024-03-02 15:00:00,1.0043916280535423,10000.0,9918.614433695548
2024-03-02 16:00:00,1.005742660579622,10000.0,9926.07833874862
2024-03-02 17:00:00,1.0042275659740125,10000.0,9904.921715229626
2024-03-02 18:00:00,1.008506838331861,10000.0,9901.432285805357
2024-03-02 19:00:00,1.0099780312908173,10000.0,9901.432285805357
2024-03-02 20:00:00,1.0060501347048858,10000.0,9895.923724197142
2024-03-02 21:00:00,1.0064652491637955,10000.0,9892.456297132376
2024-03-02 22:00:00,1.0029903525318487,10000.0,9892.456297132376
